Count,Id,category,url
0,4,"Note 20, Galaxy Note 20, samsung",https://dantri.com.vn/suc-manh-so/chua-ra-mat-galaxy-note-20-da-lo-sach-20200805154642741.htm#dt_source=Cate_SucManhSo&dt_campaign=Cover&dt_medium=1
1,4,"Galaxy Z Fold2, Galaxy Fold, samsung",https://dantri.com.vn/suc-manh-so/galaxy-z-fold-2-lo-video-tren-tay-truoc-them-ra-mat-20200805130316837.htm#dt_source=Cate_SucManhSo&dt_campaign=Top3&dt_medium=1
2,4,"Apple, Giám đốc Tiếp thị, Phil Schiller, Greg Joswiak",https://dantri.com.vn/suc-manh-so/apple-bat-ngo-thay-tuong-phil-schiller-20200805120608221.htm#dt_source=Cate_SucManhSo&dt_campaign=Top3&dt_medium=2
3,4,"Bluezone, App Store",https://dantri.com.vn/suc-manh-so/nhieu-nguoi-viet-dang-nham-lan-bluezone-voi-bluzone-tren-kho-ung-dung-20200805144428725.htm#dt_source=Cate_SucManhSo&dt_campaign=Top3&dt_medium=3
4,4,iPhone 12,https://dantri.com.vn/suc-manh-so/dieu-dang-that-vong-tren-i-phone-12-20200805105338051.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=1
5,4,"Android, Nearby Share, AirDrop",https://dantri.com.vn/suc-manh-so/nguoi-dung-android-duoc-huong-tinh-nang-giong-air-drop-sau-9-nam-cho-doi-20200805112838401.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=2
6,4,"Oppo, Oppo K7, 5g",https://dantri.com.vn/suc-manh-so/oppo-ra-mat-them-dien-thoai-5-g-voi-4-camera-gia-tu-6-trieu-dong-20200805082340800.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=3
7,4,"Fujifilm, ống kính Fuji, ống kính XF35mm, lens 35mm",https://dantri.com.vn/suc-manh-so/lens-huyen-thoai-cua-fujifilm-bat-ngo-co-video-quang-cao-sau-8-nam-ra-mat-20200805091315081.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=4
8,4,"Bluezone, ứng dụng di động, COVID-19, xác định người mắc Covid-19",https://dantri.com.vn/suc-manh-so/huong-dan-cai-khau-trang-dien-tu-bluezone-ung-dung-canh-bao-covid-19-20200424032332364.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=5
9,4,"Apple, tiktok, Microsoft, mạng xã hội",https://dantri.com.vn/suc-manh-so/thuc-hu-tin-don-apple-tham-gia-cuoc-dua-mua-lai-tik-tok-20200805142318102.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=6
10,4,"sự kiện Samsung, Galaxy Note20, Galaxy Z Fold 2, Galaxy Buds Live",https://dantri.com.vn/suc-manh-so/trong-doi-gi-tai-su-kien-dac-biet-cua-samsung-dien-ra-vao-toi-nay-20200805030312705.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=7
11,4,"tiktok, ByteDance, quan hệ Mỹ - Trung Quốc",https://dantri.com.vn/suc-manh-so/trung-quoc-khong-chap-nhan-hanh-vi-danh-cap-tik-tok-cua-my-20200804142032681.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=8
12,4,"siêu thị điện máy, xả hàng, thị trường điện máy",https://dantri.com.vn/suc-manh-so/sieu-thi-dien-may-dong-loat-giam-gia-xa-hang-he-20200804114142792.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=9
13,4,"iPhone, iPhone 12, Apple",https://dantri.com.vn/suc-manh-so/i-phone-12-co-the-ra-mat-thanh-2-dot-20200804093624378.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=10
14,4,"chuột máy tính, William English, Douglas Engelbert, cha đẻ chuột máy tính",https://dantri.com.vn/suc-manh-so/cha-de-cua-chuot-may-tinh-qua-doi-o-tuoi-91-20200804103458906.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=11
15,4,"Microsoft, tiktok, mạng xã hội, dữ liệu người dùng",https://dantri.com.vn/suc-manh-so/vi-sao-microsoft-quyet-tam-mua-tik-tok-20200804151755546.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=12
16,4,"MacBook, Apple",https://dantri.com.vn/suc-manh-so/apple-chuan-bi-ra-mat-mac-book-gia-re-nhat-lich-su-gia-chi-tu-18-trieu-20200804072022577.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=13
17,4,"Pixel 4a, smartphone tầm trung, Pixel 5, smartphone Google",https://dantri.com.vn/suc-manh-so/google-ra-mat-bo-3-smartphone-pixel-5-pixel-4-a-5-g-va-pixel-4-a-20200804034754478.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=14
18,4,"nhà máy sản xuất, máy tính Samsung, thị trường Trung Quốc",https://dantri.com.vn/suc-manh-so/sau-smartphone-samsung-dung-san-xuat-may-tinh-tai-trung-quoc-20200804041931552.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=15
19,4,"Covid, virus corona, nCoV",https://dantri.com.vn/suc-manh-so/cong-nghe-dac-biet-giup-han-che-lay-lan-covid-19-trong-benh-vien-20200803155522859.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=16
20,4,"iPhone 12, Apple, lidar",https://dantri.com.vn/suc-manh-so/nang-cap-thu-vi-nhat-tren-i-phone-12-20200803121105497.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=17
21,4,"iPod, Apple, iPod Touch",https://dantri.com.vn/suc-manh-so/chiec-i-pod-touch-dac-biet-ngay-ca-ifan-cung-chua-bao-gio-thay-20200803120814289.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=18
22,4,"tiktok, mạng xã hội, Microsoft, Tổng thống Trump",https://dantri.com.vn/suc-manh-so/microsoft-xac-nhan-dang-thuyet-phuc-tong-thong-trump-cho-phep-mua-tik-tok-20200803115753742.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=19
23,4,"Bluezone, Covid",https://dantri.com.vn/suc-manh-so/thu-tuong-de-nghi-toan-dan-cai-dat-bluezone-de-truy-vet-nhanh-20200803124743316.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=20
24,4,"VNPT, Nhân tài Đất Việt",https://dantri.com.vn/suc-manh-so/vnpt-nhan-15-giai-thuong-tai-cuoc-thi-chau-a-thai-binh-duong-20200803131804004.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=21
25,4,canon,https://dantri.com.vn/suc-manh-so/may-anh-eos-r-5-r-6-cua-canon-gap-loi-qua-tai-nhiet-20200803055741705.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=22
26,4,"triển lãm công nghệ, CES 2021, triển lãm trực tuyến, COVID-19",https://dantri.com.vn/suc-manh-so/trien-lam-cong-nghe-ces-2021-phai-chuyen-sang-hinh-thuc-truc-tuyen-20200729024457185.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_TieuDiem&dt_medium=1
27,4,"bill gates, tin giả, facebook",https://dantri.com.vn/suc-manh-so/bill-gates-tin-gia-lan-truyen-nhanh-hon-tin-that-tren-mang-xa-hoi-20200729033451797.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_TieuDiem&dt_medium=2
28,4,"nhiếp ảnh, nhiếp ảnh đường phố, iPhone",https://dantri.com.vn/suc-manh-so/quan-quan-cuoc-thi-anh-i-phone-chia-se-bi-quyet-chup-street-style-cuc-chat-20200729025333382.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_TieuDiem&dt_medium=3
29,4,"tiktok, mạng xã hội, thông tin người dùng, thu thập thông tin",https://dantri.com.vn/suc-manh-so/nhat-ban-can-nhac-cam-tik-tok-va-loat-ung-dung-nguon-goc-trung-quoc-20200729144118413.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_TieuDiem&dt_medium=4
30,4,"tiktok, ByteDance, quan hệ Mỹ - Trung Quốc",https://dantri.com.vn/suc-manh-so/trung-quoc-khong-chap-nhan-hanh-vi-danh-cap-tik-tok-cua-my-20200804142032681.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_MayTinhMang&dt_medium=1
31,4,"MacBook, Apple",https://dantri.com.vn/suc-manh-so/apple-chuan-bi-ra-mat-mac-book-gia-re-nhat-lich-su-gia-chi-tu-18-trieu-20200804072022577.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_MayTinhMang&dt_medium=2
32,4,"nhà máy sản xuất, máy tính Samsung, thị trường Trung Quốc",https://dantri.com.vn/suc-manh-so/sau-smartphone-samsung-dung-san-xuat-may-tinh-tai-trung-quoc-20200804041931552.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_MayTinhMang&dt_medium=3
33,4,"Covid, virus corona, nCoV",https://dantri.com.vn/suc-manh-so/cong-nghe-dac-biet-giup-han-che-lay-lan-covid-19-trong-benh-vien-20200803155522859.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_MayTinhMang&dt_medium=4
34,4,"Note 20, Galaxy Note 20, samsung",https://dantri.com.vn/suc-manh-so/chua-ra-mat-galaxy-note-20-da-lo-sach-20200805154642741.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_DiDongVienThong&dt_medium=1
35,4,iPhone 12,https://dantri.com.vn/suc-manh-so/dieu-dang-that-vong-tren-i-phone-12-20200805105338051.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_DiDongVienThong&dt_medium=2
36,4,"Android, Nearby Share, AirDrop",https://dantri.com.vn/suc-manh-so/nguoi-dung-android-duoc-huong-tinh-nang-giong-air-drop-sau-9-nam-cho-doi-20200805112838401.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_DiDongVienThong&dt_medium=3
37,4,"Oppo, Oppo K7, 5g",https://dantri.com.vn/suc-manh-so/oppo-ra-mat-them-dien-thoai-5-g-voi-4-camera-gia-tu-6-trieu-dong-20200805082340800.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_DiDongVienThong&dt_medium=4
38,4,"siêu thị điện máy, xả hàng, thị trường điện máy",https://dantri.com.vn/suc-manh-so/sieu-thi-dien-may-dong-loat-giam-gia-xa-hang-he-20200804114142792.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_DienTuTieuDung&dt_medium=1
39,4,"LG InstaView, tủ lạnh thông minh, tủ lạnh side by side, tủ lạnh LG",https://dantri.com.vn/suc-manh-so/lg-ban-duoc-1-trieu-tu-lanh-thong-minh-tich-hop-man-hinh-cam-ung-insta-view-20200722092637353.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_DienTuTieuDung&dt_medium=2
40,4,"tv, TV OLED, lg",https://dantri.com.vn/suc-manh-so/hon-60000-tv-oled-cua-lg-dinh-loi-nong-bat-thuong-20200722023241812.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_DienTuTieuDung&dt_medium=3
41,4,tai nghe sony WFSP800N,https://dantri.com.vn/suc-manh-so/sony-gay-sot-voi-dong-tai-nghe-the-thao-chong-on-wfsp-800-n-20200713173517004.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_DienTuTieuDung&dt_medium=4
42,4,"Fujifilm, ống kính Fuji, ống kính XF35mm, lens 35mm",https://dantri.com.vn/suc-manh-so/lens-huyen-thoai-cua-fujifilm-bat-ngo-co-video-quang-cao-sau-8-nam-ra-mat-20200805091315081.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_NgheNhin&dt_medium=1
43,4,canon,https://dantri.com.vn/suc-manh-so/may-anh-eos-r-5-r-6-cua-canon-gap-loi-qua-tai-nhiet-20200803055741705.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_NgheNhin&dt_medium=2
44,4,"Kodak, máy ảnh, film chụp",https://dantri.com.vn/suc-manh-so/be-tac-trong-san-xuat-may-anh-kodak-chuyen-huong-sang-duoc-pham-20200730073525211.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_NgheNhin&dt_medium=3
45,4,"nhiếp ảnh, nhiếp ảnh đường phố, iPhone",https://dantri.com.vn/suc-manh-so/quan-quan-cuoc-thi-anh-i-phone-chia-se-bi-quyet-chup-street-style-cuc-chat-20200729025333382.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_NgheNhin&dt_medium=4
46,4,"Bluezone, App Store",https://dantri.com.vn/suc-manh-so/nhieu-nguoi-viet-dang-nham-lan-bluezone-voi-bluzone-tren-kho-ung-dung-20200805144428725.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_PhanMemBaoMat&dt_medium=1
47,4,"hacker, tin tặc, chiếm đoạt Facebook, ivanovic",https://dantri.com.vn/suc-manh-so/tai-khoan-facebook-cua-cuu-hau-ve-chelsea-bi-hacker-viet-chiem-roi-rao-ban-20200731032850398.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_PhanMemBaoMat&dt_medium=2
48,4,"công nghiệp điện tử y tế, thiết bị điện tử y tế",https://dantri.com.vn/suc-manh-so/cac-thiet-bi-dien-tu-y-te-dang-doi-mat-voi-mot-bai-kiem-thu-quan-trong-20200729131549742.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_PhanMemBaoMat&dt_medium=3
49,4,"ứng dụng smartphone, động đất, cảnh báo động đất",https://dantri.com.vn/suc-manh-so/ung-dung-giup-canh-bao-som-dong-dat-tren-smartphone-20200728071210609.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_PhanMemBaoMat&dt_medium=4
50,4,"Bluezone, ứng dụng di động, COVID-19, xác định người mắc Covid-19",https://dantri.com.vn/suc-manh-so/huong-dan-cai-khau-trang-dien-tu-bluezone-ung-dung-canh-bao-covid-19-20200424032332364.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_ThuThuatMeoVat&dt_medium=1
51,4,"ứng dụng di động, đề phòng Covid-19, Sars-CoV-2, COVID-19",https://dantri.com.vn/suc-manh-so/nhung-ung-dung-nen-co-tren-smartphone-de-phong-lay-nhiem-covid-19-20200801035555319.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_ThuThuatMeoVat&dt_medium=2
52,4,"NCOVI, Bluezone, handwashing, COVID-19",https://dantri.com.vn/suc-manh-so/3-ung-dung-nen-tai-ve-smartphone-trong-mua-dich-covid-19-20200730114700915.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_ThuThuatMeoVat&dt_medium=3
53,4,"ứng dụng di động, thủ thuật, biến smartphone thành máy scan, kiểm tra tốc độ Internet",https://dantri.com.vn/suc-manh-so/thu-thuat-kich-hoat-nhanh-cac-ung-dung-tren-smartphone-noi-bat-nhat-tuan-20200725230358224.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_ThuThuatMeoVat&dt_medium=4
54,4,"camera giấu kín, thiết bị chống trộm, Xiaomi",https://dantri.com.vn/suc-manh-so/xiaomi-ra-mat-thiet-bi-giup-phat-hien-camera-quay-len-20200218122530678.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_ThiTruongCongNghe&dt_medium=1
55,4,"Galaxy Z Fold2, Galaxy Fold, samsung",https://dantri.com.vn/suc-manh-so/galaxy-z-fold-2-lo-video-tren-tay-truoc-them-ra-mat-20200805130316837.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_ThiTruongCongNghe&dt_medium=2
56,4,"iPhone, iPhone 12, Apple",https://dantri.com.vn/suc-manh-so/i-phone-12-co-the-ra-mat-thanh-2-dot-20200804093624378.htm#dt_source=Cate_SucManhSo&dt_campaign=Box_ThiTruongCongNghe&dt_medium=3
57,4,"Bluezone, Covid",https://dantri.com.vn/suc-manh-so/thu-tuong-de-nghi-toan-dan-cai-dat-bluezone-de-truy-vet-nhanh-20200803124743316.htm#dt_source=Cate_SucManhSo&dt_campaign=DocNhieuNhatChuyenMuc&dt_medium=1
58,4,"clip tuần qua, clip hot, clip gây sốt, cư dân mạng",https://dantri.com.vn/suc-manh-so/clip-cham-lua-hut-thuoc-suyt-gay-hoa-hoan-tai-cay-xang-ha-noi-gay-phan-no-20200802042804968.htm#dt_source=Cate_SucManhSo&dt_campaign=DocNhieuNhatChuyenMuc&dt_medium=2
59,4,"siêu thị điện máy, xả hàng, thị trường điện máy",https://dantri.com.vn/suc-manh-so/sieu-thi-dien-may-dong-loat-giam-gia-xa-hang-he-20200804114142792.htm#dt_source=Cate_SucManhSo&dt_campaign=DocNhieuNhatChuyenMuc&dt_medium=3
60,4,"Microsoft, tiktok, mạng xã hội, dữ liệu người dùng",https://dantri.com.vn/suc-manh-so/vi-sao-microsoft-quyet-tam-mua-tik-tok-20200804151755546.htm#dt_source=Cate_SucManhSo&dt_campaign=DocNhieuNhatChuyenMuc&dt_medium=4
61,4,"Microsoft, tiktok, mạng xã hội, chính phủ mỹ",https://dantri.com.vn/suc-manh-so/microsoft-chi-100-ty-usd-de-mua-lai-tik-tok-20200802033809363.htm#dt_source=Cate_SucManhSo&dt_campaign=DocNhieuNhatChuyenMuc&dt_medium=5
62,4,"Galaxy S10, samsung",https://dantri.com.vn/suc-manh-so/cap-doi-mac-ket-tren-bien-duoc-giai-cuu-nho-dien-thoai-galaxy-s-10-20200801083057665.htm#dt_source=Cate_SucManhSo&dt_campaign=DocNhieuNhatChuyenMuc&dt_medium=6
63,4,"Galaxy Note20, Galaxy Z Fold 2, giá bán Galaxy Note20, smartphone màn hình gập",https://dantri.com.vn/suc-manh-so/lo-gia-ban-chat-cua-bo-doi-galaxy-note-20-va-galaxy-f-fold-2-sap-ra-mat-20200803033859866.htm#dt_source=Cate_SucManhSo&dt_campaign=DocNhieuNhatChuyenMuc&dt_medium=7
64,4,"iPhone, iPhone 12, Apple",https://dantri.com.vn/suc-manh-so/i-phone-12-co-the-ra-mat-thanh-2-dot-20200804093624378.htm#dt_source=Cate_SucManhSo&dt_campaign=DocNhieuNhatChuyenMuc&dt_medium=8
65,4,"iPhone, Apple, thị phần smartphone",https://dantri.com.vn/suc-manh-so/i-phone-la-dien-thoai-duy-nhat-ban-chay-trong-mua-dich-covid-19-20200803044026594.htm#dt_source=Cate_SucManhSo&dt_campaign=MainList&dt_medium=21
