Count,Id,category,url
0,8,"Dịch Covid-19 Đà Nẵng, Dịch Covid-19 Hà Nội, trở về từ Đà Nẵng",https://dantri.com.vn/suc-khoe/hanh-trinh-day-dac-den-ha-noi-hue-quang-binh-quang-tri-cua-benh-nhan-727-20200808090032849.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=Cover&dt_medium=1
1,8,"bacsi24, vovbacsi24, COVID-19",https://dantri.com.vn/suc-khoe/vov-bacsi-24-ung-dung-kham-benh-giup-go-roi-cho-f-1-f-2-thoi-dich-covid-19-20200808135408544.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=Top3&dt_medium=1
2,8,"xét nghiệm PCR, dịch covid-19, xét nghiệm Realtime-PCR",https://dantri.com.vn/xa-hoi/ha-noi-ngay-dau-xet-nghiem-pcr-cho-nguoi-tro-ve-tu-vung-dich-da-nang-20200808111615727.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=Top3&dt_medium=2
3,8,"tỷ phú Brazil, sản xuất vắc xin",https://dantri.com.vn/the-gioi/ty-phu-brazil-dan-dau-sang-kien-xay-nha-may-san-xuat-vac-xin-covid-19-20200808132303045.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=Top3&dt_medium=3
4,8,"huyện Phong Điền, tỉnh Quảng Trị, Thừa Thiên Huế, COVID-19",https://dantri.com.vn/suc-khoe/thua-thien-hue-ra-thong-bao-khan-ve-nhung-noi-benh-nhan-727-tung-den-20200808111848328.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=1
5,8,"COVID-19, người Phú Yên mắc Covid-19, số liệu Covid-19",https://dantri.com.vn/suc-khoe/benh-nhan-covid-19-nguoi-phu-yen-chua-ve-nha-tu-thang-6-20200808093416497.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=2
6,8,"xét nghiệm SARS-CoV-2, Dịch Covid-19 Đà Nẵng, Dịch Covid-19 Hà Nội",https://dantri.com.vn/suc-khoe/bo-y-te-cho-phep-tron-mau-benh-pham-xet-nghiem-sars-co-v-2-20200808110401461.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=3
7,8,"COVID-19, chuyến bay, đón công dân",https://dantri.com.vn/suc-khoe/chuyen-chua-ke-ve-chuyen-bay-dac-biet-cho-120-nguoi-viet-mac-covid-19-20200802231102492.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=4
8,8,"COVID-19, Đà Nẵng, sinh viên, chống dịch",https://dantri.com.vn/suc-khoe/sinh-vien-truong-y-trang-dem-canh-covid-19-o-cua-ngo-da-nang-20200807224350438.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=5
9,8,"ca dương tính Covid-19 mới, Covid-19 Hà Nội, Dịch Covid-19 Đà Nẵng",https://dantri.com.vn/suc-khoe/5-ca-mac-covid-19-moi-ha-noi-co-ca-benh-thu-5-20200807232952941.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=6
10,8,"Dịch Covid-19 Đà Nẵng, xây bệnh viện dã chiến, bệnh viện dã chiến đà nẵng",https://dantri.com.vn/suc-khoe/co-the-lap-benh-vien-da-chien-tai-quang-nam-quang-ngai-hue-20200807232440080.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=7
11,8,"Quảng Ngãi, COVID-19, nhiễm bệnh",https://dantri.com.vn/suc-khoe/quang-ngai-3-benh-nhan-covid-19-trong-mot-gia-dinh-20200807204135826.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=8
12,8,"điều trị khỏi Covid-19, Nam Định, Đà Nẵng",https://dantri.com.vn/suc-khoe/3-benh-nhan-mac-covid-19-khoi-benh-20200808090040421.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=9
13,8,"Covid-19 Hà Nội, Hải Phòng",https://dantri.com.vn/suc-khoe/thong-bao-khan-2-chuyen-bay-den-ha-noi-nha-trang-co-ca-mac-covid-19-20200807221624993.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=10
14,8,"COVID-19, Donald Trump, WHO",https://dantri.com.vn/the-gioi/my-van-manh-tay-tai-tro-lon-cho-who-bat-chap-tuyen-bo-rut-khoi-to-chuc-20200807201244736.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=11
15,8,"COVID-19, huyết tương, điều trị",https://dantri.com.vn/suc-khoe/y-bac-si-tien-phong-hien-huyet-tuong-cuu-chua-benh-nhan-covid-19-20200807143912235.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=12
16,8,"Bệnh viện Đà Nẵng, du khách rời đà nẵng, trở về từ Đà Nẵng",https://dantri.com.vn/suc-khoe/bo-y-te-lan-thu-3-thuc-cac-dia-phuong-truy-vet-nguoi-tu-da-nang-ve-20200807194447222.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=13
17,8,"nguy cơ dịch Covid-19, chi viện cho Đà Nẵng, Covid-19 Hà Nội, ca mắc Covid-19 mới",https://dantri.com.vn/suc-khoe/34-ca-mac-covid-19-14-tinh-thanh-vao-ban-do-dich-trong-cong-dong-20200807175508546.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=14
18,8,"dịch covid-19, gỡ lệnh phong tỏa, bệnh viện c, Da Nang",https://dantri.com.vn/suc-khoe/0-h-dem-nay-go-lenh-phong-toa-benh-vien-c-da-nang-20200807173606642.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=15
19,8,"COVID-19, Nga, vắc xin",https://dantri.com.vn/the-gioi/nga-se-dang-ky-vac-xin-ngua-covid-19-dau-tien-vao-tuan-toi-20200807164501773.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=16
20,8,"dịch covid-19, Bệnh viện Đa khoa Trung ương, bệnh nhân Covid điều trị, Bác sĩ Nguyễn Trường Sơn",https://dantri.com.vn/suc-khoe/benh-vien-da-khoa-trung-uong-quang-nam-keu-cuu-vi-thieu-do-bao-ho-20200807160840203.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=17
21,8,"Bệnh viện Đà Nẵng, trở về từ Đà Nẵng, Covid-19 Hà Nội",https://dantri.com.vn/suc-khoe/so-benh-nhan-covid-19-co-tien-luong-tu-vong-tai-da-nang-kha-nhieu-20200807163213473.htm#dt_source=Cate_DaiDichCovid19&dt_campaign=MainList&dt_medium=18
