Count,Id,category,url
0,7,"Khánh Huyền, Lê Công Tuấn Anh, Ngọt ngào và man trá",https://dantri.com.vn/van-hoa/khanh-huyen-noi-gi-ve-tin-don-tung-phai-long-le-cong-tuan-anh-20200805115737075.htm#dt_source=Cate_DienAnh&dt_campaign=Cover&dt_medium=1
1,7,"gà trống nuôi con, đời sống giới sao, làm cha, người cha",https://dantri.com.vn/van-hoa/nhung-sao-nam-ga-trong-nuoi-con-o-hollywood-20200804232052677.htm#dt_source=Cate_DienAnh&dt_campaign=Top3&dt_medium=1
2,7,"Khánh Huyền, Quốc Tuấn, Người vác tù và hàng tổng, cát xê",https://dantri.com.vn/van-hoa/khanh-huyen-he-lo-catse-khung-thoi-dong-phim-voi-quoc-tuan-thap-nien-90-20200804115937379.htm#dt_source=Cate_DienAnh&dt_campaign=Top3&dt_medium=2
3,7,"Tom Cruise, phim hành động, Nhiệm vụ bất khả thi",https://dantri.com.vn/van-hoa/khong-co-nhiem-vu-nao-la-bat-kha-thi-doi-voi-tom-cruise-20200803230532389.htm#dt_source=Cate_DienAnh&dt_campaign=Top3&dt_medium=3
4,7,"clip gây sốt, clip hài hước, bản tin trực tiếp",https://dantri.com.vn/van-hoa/cau-be-nghich-ngom-truoc-ong-kinh-truyen-hinh-khien-nguoi-xem-bat-cuoi-20200801183740979.htm#dt_source=Cate_DienAnh&dt_campaign=MainList&dt_medium=1
5,7,"bối cảnh phim, điện ảnh, du lịch, hoa vàng trên cỏ xanh",https://dantri.com.vn/van-hoa/lam-the-nao-de-dien-anh-tro-thanh-don-bay-cua-du-lich-viet-20200731104633248.htm#dt_source=Cate_DienAnh&dt_campaign=MainList&dt_medium=2
6,7,"đời sống giới sao, tình trẻ, hôn nhân, tình yêu",https://dantri.com.vn/van-hoa/nhung-ngoi-sao-nu-tim-thay-hanh-phuc-ben-tinh-tre-20200730214432713.htm#dt_source=Cate_DienAnh&dt_campaign=MainList&dt_medium=3
7,7,"David Beckham, Victoria Beckham, Harper Beckham",https://dantri.com.vn/van-hoa/cong-chua-nha-beckham-da-lon-va-biet-lam-dieu-nhu-the-nay-20200730220037162.htm#dt_source=Cate_DienAnh&dt_campaign=MainList&dt_medium=4
8,7,"Angelina Jolie, Hollywood, thời niên thiếu",https://dantri.com.vn/van-hoa/ban-co-nhan-ra-day-la-anh-chup-thoi-nien-thieu-cua-ngoi-sao-nao-20200729233025499.htm#dt_source=Cate_DienAnh&dt_campaign=MainList&dt_medium=5
9,7,"Liên hoan phim Việt Nam, điện ảnh, hội thảo",https://dantri.com.vn/van-hoa/vi-sao-lien-hoan-phim-viet-nam-van-bi-tho-o-thieu-tam-anh-huong-20200729164114568.htm#dt_source=Cate_DienAnh&dt_campaign=MainList&dt_medium=6
10,7,"Mây nhưng không mưa, Liên hoan phim Venice",https://dantri.com.vn/van-hoa/phim-ngan-viet-tranh-giai-tai-lhp-venice-lan-thu-77-20200729165731659.htm#dt_source=Cate_DienAnh&dt_campaign=MainList&dt_medium=7
11,7,"ung thư, tuyến giáp, nhà báo truyền hình, bản tin truyền hình",https://dantri.com.vn/van-hoa/nha-bao-truyen-hinh-phat-hien-ung-thu-nho-khan-gia-20200726184546422.htm#dt_source=Cate_DienAnh&dt_campaign=MainList&dt_medium=8
12,7,"Cuốn theo chiều gió, phim kinh điển, Hollywood, nghệ sĩ qua đời",https://dantri.com.vn/van-hoa/nu-dien-vien-cuon-theo-chieu-gio-olivia-de-havilland-qua-doi-o-tuoi-104-20200727075555865.htm#dt_source=Cate_DienAnh&dt_campaign=MainList&dt_medium=9
13,7,"đời sống giới sao, ngôi sao, Kanye West, Kim Kardashian",https://dantri.com.vn/van-hoa/kanye-west-va-nhung-ngoi-sao-tung-phai-len-tieng-xin-loi-nua-kia-20200726183309721.htm#dt_source=Cate_DienAnh&dt_campaign=MainList&dt_medium=10
14,7,"Đừng bắt em phải quên, tranh cãi",https://dantri.com.vn/van-hoa/tranh-cai-gay-gat-ve-cai-ket-hut-hang-cua-dung-bat-em-phai-quen-20200725103818459.htm#dt_source=Cate_DienAnh&dt_campaign=MainList&dt_medium=11
15,7,"Đi về miền đất lạnh, phim tài liệu, đồng đội",https://dantri.com.vn/van-hoa/phim-tai-lieu-xuc-dong-ve-nguoi-cuu-binh-tro-ve-sau-5-lan-bao-tu-20200723084015879.htm#dt_source=Cate_DienAnh&dt_campaign=MainList&dt_medium=12
