Count,Id,category,url
0,3,"Hương Giang, Matt Liu, Người ấy là ai",https://dantri.com.vn/giai-tri/huong-giang-hen-ho-cung-chang-trai-co-tim-thay-o-nguoi-ay-la-ai-20200808012916324.htm#dt_source=Cate_GiaiTri&dt_campaign=Cover&dt_medium=1
1,3,Melissa Gorga,https://dantri.com.vn/giai-tri/nguong-mo-co-bung-san-chac-cua-melissa-gorga-20200808101734735.htm#dt_source=Cate_GiaiTri&dt_campaign=Top3&dt_medium=1
2,3,"vợ chồng Quách Phú Thành, Quách Phú Thành, vợ quách phú thành",https://dantri.com.vn/giai-tri/vo-chong-quach-phu-thanh-khoe-anh-ngot-ngao-giua-tin-don-ran-nut-20200808092437844.htm#dt_source=Cate_GiaiTri&dt_campaign=Top3&dt_medium=2
3,3,"Maya, Single Mom, Gạ tình, xúc phạm danh dự",https://dantri.com.vn/giai-tri/bi-vu-khong-ga-tinh-maya-buc-xuc-tuyen-bo-kien-nguoi-tung-tin-don-20200808084834490.htm#dt_source=Cate_GiaiTri&dt_campaign=Top3&dt_medium=3
4,3,"Angelababy, cân nặng Angelababy",https://dantri.com.vn/giai-tri/soc-voi-them-nguc-gay-tro-xuong-cua-angelababy-20200808084815333.htm#dt_source=Cate_GiaiTri&dt_campaign=MainList&dt_medium=1
5,3,Cady Groves,https://dantri.com.vn/giai-tri/nu-ca-si-9-x-chet-vi-nghien-ruou-20200808074836126.htm#dt_source=Cate_GiaiTri&dt_campaign=MainList&dt_medium=2
6,3,Emma Watson,https://dantri.com.vn/giai-tri/sao-phim-harry-potter-goi-cam-voi-ao-tam-hong-20200808071653187.htm#dt_source=Cate_GiaiTri&dt_campaign=MainList&dt_medium=3
7,3,Britney Spears,https://dantri.com.vn/giai-tri/sao-cung-lo-nhieu-thoi-xau-20200806182857553.htm#dt_source=Cate_GiaiTri&dt_campaign=MainList&dt_medium=4
8,3,nghệ sĩ Trấn Thành,https://dantri.com.vn/giai-tri/tran-thanh-so-gang-trong-du-an-phim-moi-20200806124245071.htm#dt_source=Cate_GiaiTri&dt_campaign=MainList&dt_medium=5
9,3,"COVID-19, Trần Tiểu Vy, Đà Nẵng, Quảng Nam",https://dantri.com.vn/giai-tri/nghe-si-viet-dong-long-huong-ve-da-nang-quang-nam-20200808015053912.htm#dt_source=Cate_GiaiTri&dt_campaign=MainList&dt_medium=6
10,3,Christine McGuinness,https://dantri.com.vn/giai-tri/lauren-goodger-goi-cam-tap-the-duc-trong-cong-vien-20200807103518986.htm#dt_source=Cate_GiaiTri&dt_campaign=MainList&dt_medium=7
11,3,"Hồ Ngọc Hà, Đàm Vĩnh Hưng, Nghệ sĩ livestream",https://dantri.com.vn/giai-tri/nghe-si-vuot-qua-kho-khan-mua-dichbang-ban-hang-online-20200807141745081.htm#dt_source=Cate_GiaiTri&dt_campaign=MainList&dt_medium=8
12,3,"noo phước thịnh thả thính, Hoa hậu Mai Phương Thúy, noo thả thính mai phương thúy, ca sĩ Noo Phước Thịnh",https://dantri.com.vn/giai-tri/noo-phuoc-thinh-tha-thinh-mai-phuong-thuy-gay-bao-mang-20200807152320955.htm#dt_source=Cate_GiaiTri&dt_campaign=MainList&dt_medium=9
13,3,"hề mộng dao, vợ chồng Hề Mộng Dao",https://dantri.com.vn/giai-tri/sieu-mau-he-mong-dao-tai-xuat-sau-9-thang-sinh-con-20200807102229794.htm#dt_source=Cate_GiaiTri&dt_campaign=MainList&dt_medium=10
14,3,Jennifer Garner,https://dantri.com.vn/giai-tri/day-tin-don-jennifer-garner-va-bradley-cooper-hen-ho-20200807091616477.htm#dt_source=Cate_GiaiTri&dt_campaign=MainList&dt_medium=11
15,3,Địch Lệ Nhiệt Ba,https://dantri.com.vn/giai-tri/dich-le-nhiet-ba-xau-la-vi-loi-trang-diem-20200807095140462.htm#dt_source=Cate_GiaiTri&dt_campaign=MainList&dt_medium=12
16,3,Farrah Abraham,https://dantri.com.vn/giai-tri/farrah-abraham-khoe-than-hinh-dao-keo-tren-bien-20200807094002919.htm#dt_source=Cate_GiaiTri&dt_campaign=MainList&dt_medium=13
17,3,"NSND Công Lý, Hoa hậu Ngọc Hân, BTV Thu Hương, Mask challenge",https://dantri.com.vn/giai-tri/loat-sao-viet-btv-dong-loat-huong-ung-chien-dich-deo-khau-trang-cua-who-20200807081347760.htm#dt_source=Cate_GiaiTri&dt_campaign=MainList&dt_medium=14
