Count,Id,category,url
0,2,"thi tốt nghiệp THPT 2020, Thi tốt nghiệp 2020, thi tốt nghiệp covid, thi tốt nghiệp đợt 2",https://dantri.com.vn/giao-duc-khuyen-hoc/bo-gddt-de-thi-tot-nghiep-thpt-2020-co-do-kho-chap-nhan-duoc-20200807215722114.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=Cover&dt_medium=1
1,2,"thpt quốc gia 2020, Hà Nam",https://dantri.com.vn/giao-duc-khuyen-hoc/de-nghi-dua-don-mot-thi-sinh-trong-khu-vuc-cach-ly-bang-xe-chuyen-dung-20200808091330317.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=Top3&dt_medium=1
2,2,"phun thuốc khử khuẩn, dịch bệnh covid-19, Nam Định, thi tốt nghiệp THPT",https://dantri.com.vn/tuyen-sinh/nam-dinh-3-kich-ban-ung-pho-voi-tinh-huong-co-thi-sinh-lien-quan-covid-19-20200808083607977.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=Top3&dt_medium=2
3,2,"eKidPro, tiếng Anh tương tác trực tuyến",https://dantri.com.vn/giao-duc-khuyen-hoc/hoc-tieng-anh-truc-tuyen-de-khong-con-hao-huc-ban-dau-chan-nan-ve-sau-20200808104044841.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=Top3&dt_medium=3
4,2,Đại học Công nghệ TP.HCM,https://dantri.com.vn/giao-duc-khuyen-hoc/5-tieu-chi-chon-truong-dai-hoc-cua-sinh-vien-thoi-hoi-nhap-20200807163001344.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=1
5,2,"Đà Nẵng, thi tốt nghiệp THPT, vùng dịch, Covid 19",https://dantri.com.vn/tuyen-sinh/da-nang-huong-dan-hoc-sinh-lop-12-nghien-cuu-de-thi-tot-nghiep-thpt-dot-1-20200807175516642.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=2
6,2,"kỳ thi tốt nghiệp THPT 2020, Sóc Trăng, Bạc Liêu",https://dantri.com.vn/giao-duc-khuyen-hoc/bac-lieu-soc-trang-san-sang-cho-ky-thi-khong-co-thi-sinh-la-f-0-f-1-f-2-20200807163702960.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=3
7,2,"TP Buôn Ma Thuột, Đắk Lắk, thi tốt nghiệp THPT",https://dantri.com.vn/tuyen-sinh/thi-tot-nghiep-thpt-dot-2-thi-sinh-va-phu-huynh-bay-to-nhieu-lo-lang-20200807163701902.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=4
8,2,"giảng viên trẻ tuổi, Lê Âu Ngân Anh, Bằng Thạc sĩ",https://dantri.com.vn/du-hoc/nguoi-dep-le-au-ngan-anh-tro-thanh-giang-vien-tre-tuoi-nhat-cua-dh-hoa-sen-20200808000139743.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=5
9,2,"thi tốt nghiệp THPT, thi tốt nghiệp THPT 2020, thi tốt nghiệp đợt 2, hoãn kỳ thi tốt nghiệp 2020",https://dantri.com.vn/giao-duc-khuyen-hoc/chieu-nay-88-hon-900000-thi-sinh-lam-thu-tuc-du-thi-tot-nghiep-thpt-2020-20200807222949780.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=6
10,2,"iSMART Education, học tiếng Anh",https://dantri.com.vn/giao-duc-khuyen-hoc/con-chao-lop-1-hoc-tieng-anh-co-phai-qua-som-20200807125630904.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=7
11,2,"Thí sinh, thi tốt nghiệp THPT, COVID-19",https://dantri.com.vn/giao-duc-khuyen-hoc/ca-nuoc-co-93-thi-sinh-thuoc-dien-f-1-f-2-se-thi-tot-nghiep-thpt-dot-2-20200807221841115.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=8
12,2,"thi tốt nghiệp THPT, thi tốt nghiệp đợt 2, hoãn kỳ thi tốt nghiệp 2020, thi tốt nghiệp covid",https://dantri.com.vn/giao-duc-khuyen-hoc/thi-tot-nghiep-thpt-2020-khuyen-cao-dung-khau-trang-y-te-de-tranh-gian-lan-20200807200110777.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=9
13,2,"Vượt cấp, thần đồng, Học chữ trước",https://dantri.com.vn/giao-duc-khuyen-hoc/phu-huynh-muon-con-vuot-cap-tu-mam-non-len-lop-2-khong-duoc-chap-nhan-20200807175436479.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=10
14,2,"thi tốt nghiệp THPT, Thừa Thiên Huế, COVID-19",https://dantri.com.vn/giao-duc-khuyen-hoc/chu-tich-tinh-giam-doc-so-kiem-tra-dieu-kien-chong-dich-tai-cac-diem-thi-20200807162904815.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=11
15,2,"thi tốt nghiệp THPT, giảng viên, ĐH Kinh tế quốc dân, ĐH Mở Hà Nội",https://dantri.com.vn/giao-duc-khuyen-hoc/hang-tram-giang-vien-toa-ve-cac-tinh-lam-nhiem-vu-trong-thi-tot-nghiep-thpt-20200807174533729.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=12
16,2,"sở giáo dục hòa bình, thi THPT năm 2020, thí sinh hòa bình",https://dantri.com.vn/giao-duc-khuyen-hoc/hoa-binh-chuan-bi-xuong-cao-toc-chuyen-de-thi-khi-thoi-tiet-cuc-doan-20200807123849623.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=13
17,2,"sát khuẩn điểm thi, sát khuẩn phòng thi, khánh hòa sát khuẩn phòng thi",https://dantri.com.vn/giao-duc-khuyen-hoc/khanh-hoa-bat-dau-sat-khuan-truong-hoc-truoc-ngay-thi-tot-nghiep-thpt-20200807143556745.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=14
18,2,"thi tốt nghiệp THPT, sở giáo dục ninh bình, thí sinh thi thpt",https://dantri.com.vn/tuyen-sinh/ninh-binh-san-sang-thi-tot-nghiep-thpt-khong-co-thi-sinh-la-f-0-f-1-f-2-20200807112258700.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=15
19,2,"lộ đề, Quảng Ngãi, đề thi",https://dantri.com.vn/giao-duc-khuyen-hoc/lo-de-thi-hoc-ky-2-o-quang-ngai-do-hoc-sinh-nhat-duoc-de-o-san-truong-20200807114434004.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=16
20,2,"COVID-19, thi tốt nghiệp THPT, dịch covid-19",https://dantri.com.vn/tuyen-sinh/thanh-hoa-giao-vien-hoc-sinh-du-thi-tot-nghiep-thpt-phai-deo-khau-trang-20200806183059205.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=17
21,2,"học sinh nghỉ Tết, năm học, kế hoạch",https://dantri.com.vn/giao-duc-khuyen-hoc/hoc-sinh-tphcm-du-kien-nghi-tet-nguyen-dan-2021-chi-9-ngay-20200806090100101.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=18
22,2,"dịch covid-19, tốt nghiệp THPT năm 2020, đảm bảo sức khỏe thí sinh, bình định",https://dantri.com.vn/tuyen-sinh/binh-dinh-uu-tien-dam-bao-suc-khoe-cho-thi-sinh-thi-tot-nghiep-thpt-20200806183853708.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=19
23,2,"ngành giáo dục Bạc Liêu, thi đua ngành giáo dục",https://dantri.com.vn/giao-duc-khuyen-hoc/pho-chu-tich-bac-lieu-phong-trao-thi-dua-khong-phai-chi-de-vo-tay-20200805161155088.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=20
24,2,"thí sinh huyện Quan Sơn, thuê trọ ôn thi, trước ngày vượt vũ môn",https://dantri.com.vn/tuyen-sinh/si-tu-vung-bien-miet-mai-on-thi-trong-phong-tro-20200807001820829.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=21
25,2,cuộc thi Summer Stars,https://dantri.com.vn/giao-duc-khuyen-hoc/vong-ban-ket-summer-stars-tim-thay-nhung-nhan-to-tai-nang-moi-20200806181851954.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=MainList&dt_medium=22
26,2,"thi tốt nghiệp THPT năm 2020, hoãn kỳ thi tốt nghiệp 2020, thi tốt nghiệp covid-19, Thi tốt nghiệp 2020",https://dantri.com.vn/giao-duc-khuyen-hoc/ha-noi-3-thi-sinh-thuoc-dien-f-2-se-thi-tot-nghiep-thpt-vao-dot-2-20200806161443060.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=Box_TieuDiem&dt_medium=1
27,2,"ĐH FPT, Google For Startups Accelerator, topcv, Southeast Asia",https://dantri.com.vn/giao-duc-khuyen-hoc/startup-cua-cuu-sv-dh-fpt-duoc-chon-tham-gia-google-for-startups-accelerator-dna-20200806222241211.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=Box_TieuDiem&dt_medium=2
28,2,"mượn giấy khai sinh đi học, nữ sinh Đồng Tháp",https://dantri.com.vn/giao-duc-khuyen-hoc/nu-sinh-muon-giay-khai-sinh-di-hoc-duoc-du-thi-tot-nghiep-thpt-nam-2020-20200806143020719.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=Box_TieuDiem&dt_medium=3
29,2,"hạ điểm chuẩn lớp 10, Hà nội hạ chuẩn lớp 10, hạ điểm chuẩn lớp 10 THPT, hạ điểm chuẩn 10",https://dantri.com.vn/giao-duc-khuyen-hoc/ha-noi-35-truong-thpt-cong-lap-ha-diem-chuan-vao-lop-10-nam-2020-20200806182625115.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=Box_TieuDiem&dt_medium=4
30,2,trường THPT FPT,https://dantri.com.vn/giao-duc-khuyen-hoc/thpt-fpt-san-sang-tiep-nhan-du-hoc-sinh-trong-mua-dich-covid-20200806172356399.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=Box_TinTuyenSinh&dt_medium=1
31,2,"COVID-19, thi tốt nghiệp THPT, dịch covid-19",https://dantri.com.vn/tuyen-sinh/thanh-hoa-giao-vien-hoc-sinh-du-thi-tot-nghiep-thpt-phai-deo-khau-trang-20200806183059205.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=Box_TinTuyenSinh&dt_medium=2
32,2,"tốt nghiệp THPT, gia lai, phòng chống dịch bệnh",https://dantri.com.vn/tuyen-sinh/gia-lai-toan-tinh-chung-tay-vi-mot-ky-thi-tot-nghiep-thpt-an-toan-20200807074031511.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=Box_TinTuyenSinh&dt_medium=3
33,2,"tuyển sinh ĐH năm 2020, xét tuyển bằng học bạ, kết quả học tập THPT",https://dantri.com.vn/tuyen-sinh/them-nhieu-truong-dai-hoc-cong-bo-diem-trung-tuyen-hoc-ba-20200805170032972.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=Box_TinTuyenSinh&dt_medium=4
34,2,Trường Đại học Quốc tế Sài Gòn,https://dantri.com.vn/giao-duc-khuyen-hoc/dai-hoc-quoc-te-sai-gon-dao-tao-them-4-chuyen-nganh-moi-20200806182819758.htm#dt_source=Cate_GiaoDucKhuyenHoc&dt_campaign=Box_KhuyenHoc&dt_medium=1
