Count,Id,category,url
0,5,"giá vàng, giá vàng SJC, bình ổn thị trường, Ngân hàng Nhà nước",https://dantri.com.vn/kinh-doanh/gia-vang-len-59-trieu-dongluong-ngan-hang-nha-nuoc-binh-on-nhu-the-nao-20200805181731593.htm#dt_source=Cate_KinhDoanh&dt_campaign=Cover&dt_medium=1
1,5,"giá dịch vụ, cảng biển, giao thông",https://dantri.com.vn/kinh-doanh/gia-dich-vu-cang-bien-viet-nam-thua-xa-campuchia-20200805171852032.htm#dt_source=Cate_KinhDoanh&dt_campaign=Top3&dt_medium=1
2,5,"điện máy, hàng trưng bày, tivi, tủ lạnh",https://dantri.com.vn/kinh-doanh/vo-chong-tre-nhan-qua-dang-khi-om-tien-mua-hang-dien-may-trung-bay-20200805133635930.htm#dt_source=Cate_KinhDoanh&dt_campaign=Top3&dt_medium=2
3,5,"bướm đại ngàn, lan đột biến, lan phi điệp",https://dantri.com.vn/kinh-doanh/thuc-hu-chuyen-dau-gia-mam-lan-huyen-thoai-buom-dai-ngan-117-ty-dong-20200804163930436.htm#dt_source=Cate_KinhDoanh&dt_campaign=Top3&dt_medium=3
4,5,"giám đốc đi ăn trộm, cướp ngân hàng, trộm cắp",https://dantri.com.vn/kinh-doanh/chan-dung-nhung-ong-chu-doanh-nghiep-lam-duong-thanh-phuong-trom-cuop-20200805123007779.htm#dt_source=Cate_KinhDoanh&dt_campaign=MainList&dt_medium=1
5,5,"giá vàng, giá vàng SJC, giá vàng hôm nay",https://dantri.com.vn/kinh-doanh/gia-vang-tang-dung-dung-vot-qua-moc-59-trieu-dongluong-20200805153155002.htm#dt_source=Cate_KinhDoanh&dt_campaign=MainList&dt_medium=2
6,5,"Cao tốc, Cao tốc Bắc - Nam, vốn đầu tư, giao thông",https://dantri.com.vn/kinh-doanh/bo-giao-thong-cat-679-ty-dong-dieu-hoa-von-cho-du-an-cao-toc-bac-nam-20200805121203593.htm#dt_source=Cate_KinhDoanh&dt_campaign=MainList&dt_medium=3
7,5,"thu phí, Cao tốc, cao tốc Hà Nội - Hải Phòng, giao thông",https://dantri.com.vn/kinh-doanh/thu-phi-tu-dong-khong-dung-cao-toc-ha-noi-hai-phong-tu-118-20200805150609160.htm#dt_source=Cate_KinhDoanh&dt_campaign=MainList&dt_medium=4
8,5,"khẩu trang, khẩu trang y tế, Giá khẩu trang, buôn khẩu trang",https://dantri.com.vn/kinh-doanh/khau-trang-dot-ngot-giam-gia-dan-buon-lo-nang-khoc-thet-vi-om-hang-20200803155858475.htm#dt_source=Cate_KinhDoanh&dt_campaign=MainList&dt_medium=5
9,5,"lãi suất tiết kiệm, tín dụng Ngân hàng, thanh khoản ngân hàng, tiền trong ngân hàng",https://dantri.com.vn/kinh-doanh/covid-19-tro-lai-kiem-lai-tu-gui-tiet-kiem-ngan-hang-ngay-cang-kho-20200805092833267.htm#dt_source=Cate_KinhDoanh&dt_campaign=MainList&dt_medium=6
