Count,Id,category,url
0,6,"truy nã giết người, Nguyễn Văn Dương, lẩn trốn",https://dantri.com.vn/phap-luat/nghi-pham-giet-nguoi-o-thanh-hoa-sa-luoi-tai-ha-noi-20200805142245279.htm#dt_source=Cate_PhapLuat&dt_campaign=Cover&dt_medium=1
1,6,"khởi tố bị can, tạm giam, cướp ngân hàng",https://dantri.com.vn/phap-luat/khoi-to-2-ke-cuop-942-trieu-dong-cua-ngan-hang-bidv-20200805194051109.htm#dt_source=Cate_PhapLuat&dt_campaign=Top3&dt_medium=1
2,6,"Thái Bình, bà nội đầu độc cháu, thành phố Thái Bình",https://dantri.com.vn/phap-luat/tam-giu-pho-truong-khoa-san-benh-vien-huyen-dau-doc-chau-noi-bi-bai-nao-20200804165912011.htm#dt_source=Cate_PhapLuat&dt_campaign=Top3&dt_medium=2
3,6,"vận chuyển 2kg ma túy, 30 kg pháo, CA huyện Hưng Nguyên, Nghệ An",https://dantri.com.vn/phap-luat/nu-quai-cong-30-kg-phao-kem-theo-2-kg-ma-tuy-20200805180834311.htm#dt_source=Cate_PhapLuat&dt_campaign=Top3&dt_medium=3
4,6,"kế toán trường học, kế toán rút tiền ngân sách, giả mạo chữ ký",https://dantri.com.vn/phap-luat/ke-toan-mao-chu-ky-hieu-truong-de-rut-hon-1-ty-dong-tieu-xai-ca-nhan-20200805141814291.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=1
5,6,"đánh tiếp viên xe buýt, đánh bầm mắt nữ tiếp viên, hành hung tiếp viên xe buýt",https://dantri.com.vn/phap-luat/cong-an-dieu-tra-vu-nu-tiep-vien-xe-buyt-bi-danh-bam-mat-20200805143224198.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=2
6,6,Công an Hải Hà,https://dantri.com.vn/phap-luat/lang-lach-danh-vong-tren-duong-roi-tong-dai-uy-cong-an-bi-thuong-20200805141527210.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=3
7,6,"sản xuất găng tay y tế, găng tay y tế giả",https://dantri.com.vn/phap-luat/pha-duong-day-san-xuat-gang-tay-y-te-gia-khung-giua-mua-dich-covid-19-20200805115839539.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=4
8,6,"xe đầu kéo chở chất thải, bắt hàng chục tấn, công an an giang, cảnh sát môi trường",https://dantri.com.vn/phap-luat/bat-xe-tai-xe-dau-keo-cho-hang-chuc-tan-chat-thai-nguy-hai-20200805133718242.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=5
9,6,"Nhập cảnh trái phép, Công an Quảng Trị, khởi tố vụ án",https://dantri.com.vn/phap-luat/khoi-to-bat-tam-giam-nguoi-dan-ong-dua-nguoi-ra-nuoc-ngoai-trai-phep-20200805101401417.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=6
10,6,"chốt kiêm roats dịch, Đắk Lắk, buôn bán ma túy, truy xét",https://dantri.com.vn/phap-luat/chot-kiem-soat-dich-covid-19-bat-duoc-3-doi-tuong-mua-ban-ma-tuy-20200805091127498.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=7
11,6,"trốn khỏi nơi cách ly, hành vi vi phạm pháp luật, dịch covid-19, Công an tỉnh Quảng Nam",https://dantri.com.vn/phap-luat/tam-giu-doi-tuong-tron-khoi-noi-cach-ly-20200805083846893.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=8
12,6,"Nhập cảnh trái phép, người Trung Quốc, đeo khẩu trang, môi giới nhập cảnh",https://dantri.com.vn/xa-hoi/cu-tri-de-nghi-dua-vu-an-to-chuc-nhap-canh-trai-phep-thanh-an-diem-20200805074212282.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=9
13,6,"bảo kê logo xe vua, xe vua ở hà nội",https://dantri.com.vn/phap-luat/bat-ngo-tra-ho-so-vu-bao-ke-logo-xe-vua-o-ha-noi-20200805065857226.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=10
14,6,"Trộm cắp tài sản, nữ tạp vụ, mất tài sản",https://dantri.com.vn/phap-luat/nu-tap-vu-trinh-bao-bi-trom-hon-240-trieu-dong-va-tren-3-luong-vang-20200805000610990.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=11
15,6,"vận chuyển ma túy, Biên phòng Quảng Trị",https://dantri.com.vn/phap-luat/bat-5-doi-tuong-nguoi-lao-van-chuyen-60000-vien-ma-tuy-tong-hop-20200804215131836.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=12
16,6,"Lê Văn Quang, thăng long group",https://dantri.com.vn/phap-luat/trum-da-cap-thang-long-group-linh-an-chung-than-20200805064035775.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=13
17,6,"Nguyễn Văn Trung, bị cáo bỏ trốn",https://dantri.com.vn/phap-luat/ha-noi-bi-cao-bo-tron-luc-dua-ra-xet-xu-linh-36-thang-tu-20200805080628443.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=14
18,6,"bà nội đầu độc cháu, Thái Bình, Vũ Thư",https://dantri.com.vn/xa-hoi/dinh-chi-cong-tac-sinh-hoat-dang-pho-truong-khoa-san-dau-doc-chau-noi-20200804205024029.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=15
19,6,"gây rối, đánh nhau trên quốc lộ, dùng hung khí",https://dantri.com.vn/phap-luat/bat-hang-chuc-con-do-dung-hung-khi-tan-cong-nhau-tren-quoc-lo-20200804192652055.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=16
20,6,"Công an huyện Thanh Thuỷ, xuất nhập cảnh trái phép, nhập cảnh sang Trung Quốc, xuất cảnh trái phép",https://dantri.com.vn/xa-hoi/xu-phat-2-cong-dan-xuat-nhap-canh-trai-phep-sang-trung-quoc-20200804191932849.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=17
21,6,"giật dây chuyền, xịt hơi cay, cướp tấn công người dân",https://dantri.com.vn/phap-luat/hai-ten-cuop-dung-dao-binh-hoi-cay-tan-cong-nguoi-truy-duoi-20200804172655362.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=18
22,6,"khởi tố bị can, nguyên Phó chủ tịch TX, sai phạm đất đai, phú yên",https://dantri.com.vn/phap-luat/phu-yen-khoi-to-nguyen-pho-chu-tich-ubnd-thi-xa-song-cau-20200804145608269.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=19
23,6,"thiết bị ghi âm, thiết bị ghi hình, gian lận thi cử",https://dantri.com.vn/phap-luat/duong-day-mua-ban-thiet-bi-ghi-am-ghi-hinh-de-gian-lan-thi-cu-20200804181943328.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=20
24,6,"giả danh nhân viên ngân hàng, giả danh cán bộ thuế, tuyên phạt 196 tháng tù",https://dantri.com.vn/phap-luat/o-nhom-gia-danh-nhan-vien-ngan-hang-can-bo-thue-linh-gan-200-thang-tu-20200804164122898.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=21
25,6,"lừa đảo, bán khẩu trang, chiếm đoạt tiền tỉ, Công an Nghi Lộc",https://dantri.com.vn/phap-luat/nhat-duoc-cmnd-lap-ke-hoach-lua-dao-chiem-doat-tien-ti-20200804164830822.htm#dt_source=Cate_PhapLuat&dt_campaign=MainList&dt_medium=22
26,6,"Thái Bình, bà nội đầu độc cháu, thành phố Thái Bình",https://dantri.com.vn/phap-luat/tam-giu-pho-truong-khoa-san-benh-vien-huyen-dau-doc-chau-noi-bi-bai-nao-20200804165912011.htm#dt_source=Cate_PhapLuat&dt_campaign=Box_TieuDiem&dt_medium=1
27,6,"Nghệ An, đâm chết người phụ nữ, tự tử",https://dantri.com.vn/phap-luat/nghi-pham-chan-duong-dam-chet-nguoi-phu-nu-o-nghe-an-da-that-co-tu-tu-20200729144402381.htm#dt_source=Cate_PhapLuat&dt_campaign=Box_TieuDiem&dt_medium=2
28,6,"Hoàng Ngọc, phá sản, tổng giám đốc, công ty chuyển phát nhanh",https://dantri.com.vn/phap-luat/nghi-can-cuop-ngan-hang-bidv-la-tong-giam-doc-mot-cong-ty-bi-pha-san-20200729123953685.htm#dt_source=Cate_PhapLuat&dt_campaign=Box_TieuDiem&dt_medium=3
29,6,"cướp ngân hàng, 2 đối tượng, Bắt được nghi phạm, BIDV",https://dantri.com.vn/phap-luat/ha-noi-da-bat-duoc-2-nghi-pham-cuop-ngan-hang-bidv-20200729093632874.htm#dt_source=Cate_PhapLuat&dt_campaign=Box_TieuDiem&dt_medium=4
