Count,Id,category,url
0,1,"Sancho, man utd, dortmund",https://dantri.com.vn/the-thao/dortmund-tiet-lo-soc-viec-thuong-vu-man-utd-mua-sancho-20200806102349366.htm#dt_source=Cate_TheThao&dt_campaign=Cover&dt_medium=1
1,1,"CLB Thanh Hóa, bầu Đệ, V-League 2020",https://dantri.com.vn/the-thao/clb-thanh-hoa-phan-ung-bat-ngo-sau-tuyen-bo-bo-giai-cua-bau-de-20200806112720416.htm#dt_source=Cate_TheThao&dt_campaign=Top3&dt_medium=1
2,1,"VPF, CLB Thanh Hóa, V-League",https://dantri.com.vn/the-thao/chu-tich-vpf-khong-the-vi-mot-doi-ma-lam-sup-do-nen-bong-da-20200806104902198.htm#dt_source=Cate_TheThao&dt_campaign=Top3&dt_medium=2
3,1,"man utd, europa league",https://dantri.com.vn/the-thao/nhin-lai-chien-thang-nhoc-nhan-cua-man-utd-truoc-lask-20200806091137142.htm#dt_source=Cate_TheThao&dt_campaign=Top3&dt_medium=3
4,1,"solskjaer, lingard, man utd",https://dantri.com.vn/the-thao/man-utd-lot-vao-tu-ket-europa-league-hlv-solskjaer-noi-gi-20200806081558840.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=1
5,1,"gareth bale, real madrid, champions league, man city",https://dantri.com.vn/the-thao/hlv-zidane-tram-gareth-bale-o-tran-gap-man-city-20200806072223385.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=2
6,1,"alexis sanchez, man utd, inter",https://dantri.com.vn/the-thao/man-utd-chinh-thuc-thai-loai-alexis-sanchez-20200806070355793.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=3
7,1,"Thanh Hoá, V-League, hạng Ba, VFF",https://dantri.com.vn/the-thao/clb-thanh-hoa-se-bi-day-xuong-giai-hang-ba-neu-bo-v-league-20200805225134713.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=4
8,1,"nathan ake, man city, chuyển nhượng",https://dantri.com.vn/the-thao/man-city-chinh-thuc-chieu-mo-tan-binh-tri-gia-41-trieu-bang-20200806064818429.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=5
9,1,"man utd, lingard, martila, europa league",https://dantri.com.vn/the-thao/lingard-va-martial-ghi-ban-man-utd-lot-vao-tu-ket-europa-league-20200806062727093.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=6
10,1,"Malaysia, đội tuyển Việt Nam, UAE, vòng loại World Cup",https://dantri.com.vn/the-thao/hlv-malaysia-e-ngai-uae-hon-doi-tuyen-viet-nam-tai-vong-loai-world-cup-20200805184229754.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=7
11,1,C.Ronaldo,https://dantri.com.vn/the-thao/chiem-nguong-sieu-du-thuyen-hon-167-ty-dong-cua-c-ronaldo-20200805220633250.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=8
12,1,"V-League 2020, CLB Thanh Hóa",https://dantri.com.vn/the-thao/clb-thanh-hoa-tuyen-bo-bo-v-league-neu-khong-duoc-ho-tro-kinh-phi-20200805201157957.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=9
13,1,"Công Phượng, TPHCM, Kim Điền, ""tân binh triệu đô""",https://dantri.com.vn/the-thao/vi-tri-nao-voi-cong-phuong-khi-tphcm-chieu-mo-hai-ngoi-sao-costa-rica-20200805121453311.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=10
14,1,"gareth bale, real madrid",https://dantri.com.vn/the-thao/gareth-bale-trai-long-ve-suc-ep-khung-khiep-o-real-madrid-20200805140253114.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=11
15,1,"Chanathip Songkrasin, Thái lan, giải nhật bản",https://dantri.com.vn/the-thao/chanathip-sanh-vai-cung-iniesta-o-doi-hinh-tieu-bieu-thang-7-giai-nhat-ban-20200805172813498.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=12
16,1,"Nhật ký chuyển nhượng, man utd, Sancho, man city",https://dantri.com.vn/the-thao/nhat-ky-chuyen-nhuong-ngay-58-man-utd-nham-3-muc-tieu-khac-thay-sancho-20200805164414755.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=13
17,1,"Mourinho, zidane, jurgen klopp, pep guardiola",https://dantri.com.vn/the-thao/zidane-duoc-chon-la-hlv-xuat-sac-nhat-mourinho-bi-che-bai-tham-te-20200805123016548.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=14
18,1,"jadon sancho, man utd, man city, nhận núi tiền",https://dantri.com.vn/the-thao/jadon-sancho-gia-nhap-man-utd-man-city-bat-ngo-nhan-duoc-nui-tien-20200805130743319.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=15
19,1,"man utd, lask, europa league",https://dantri.com.vn/the-thao/dan-sao-tre-cua-man-utd-se-bung-no-o-europa-league-20200805121038177.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=16
20,1,"paulo dybala, Ronaldo, Juventus, Serie A",https://dantri.com.vn/the-thao/thi-dau-thang-hoa-c-ronaldo-van-hut-giai-cau-thu-xuat-sac-nhat-serie-a-20200805114716515.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=17
21,1,"TPHCM, V-League, Costa Rica, Ariel Rodriguez",https://dantri.com.vn/the-thao/hai-tan-binh-trieu-do-cua-clb-tphcm-loi-hai-den-muc-nao-20200805113013932.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=18
22,1,"Rafael Nadal, quần vợt, Grand Slam, Giải Mỹ mở rộng",https://dantri.com.vn/the-thao/rafael-nadal-tu-choi-tham-du-giai-my-mo-rong-vi-lo-ngai-dich-benh-20200805112043146.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=19
23,1,"pochettino, tottenham, setien, Barcelona",https://dantri.com.vn/the-thao/sap-sa-thai-hlv-setien-barcelona-se-bo-nhiem-pochettino-20200804172248678.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=20
24,1,"Sancho, man utd, dortmund",https://dantri.com.vn/the-thao/bi-dortmund-ep-gia-man-utd-co-the-tu-bo-thuong-vu-sancho-20200805074040854.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=21
25,1,"fulham, Brentford",https://dantri.com.vn/the-thao/fulham-danh-bai-brentford-o-tran-cau-dat-gia-nhat-the-gioi-20200805062913075.htm#dt_source=Cate_TheThao&dt_campaign=MainList&dt_medium=22
